   ->  Model saved to checkpoints/ant_ppo_1843200.pt
Update  905/2441 | Step 1,853,440 | Episodes 14212 | FPS   2256 | Mean reward     35.7 | LR 1.89e-04 | Time    822s
Update  910/2441 | Step 1,863,680 | Episodes 14243 | FPS   2256 | Mean reward     37.8 | LR 1.88e-04 | Time    826s
Update  915/2441 | Step 1,873,920 | Episodes 14293 | FPS   2256 | Mean reward     15.7 | LR 1.88e-04 | Time    831s
Update  920/2441 | Step 1,884,160 | Episodes 14336 | FPS   2256 | Mean reward     15.9 | LR 1.87e-04 | Time    835s
Update  925/2441 | Step 1,894,400 | Episodes 14366 | FPS   2257 | Mean reward     44.2 | LR 1.86e-04 | Time    839s
Update  930/2441 | Step 1,904,640 | Episodes 14407 | FPS   2257 | Mean reward     25.6 | LR 1.86e-04 | Time    844s
Update  935/2441 | Step 1,914,880 | Episodes 14441 | FPS   2258 | Mean reward     32.6 | LR 1.85e-04 | Time    848s
Update  940/2441 | Step 1,925,120 | Episodes 14481 | FPS   2258 | Mean reward     32.0 | LR 1.84e-04 | Time    852s
Update  945/2441 | Step 1,935,360 | Episodes 14526 | FPS   2259 | Mean reward     20.4 | LR 1.84e-04 | Time    857s
Update  950/2441 | Step 1,945,600 | Episodes 14558 | FPS   2259 | Mean reward     48.1 | LR 1.83e-04 | Time    861s
   ->  Model saved to checkpoints/ant_ppo_1945600.pt
Update  955/2441 | Step 1,955,840 | Episodes 14589 | FPS   2260 | Mean reward     43.6 | LR 1.83e-04 | Time    866s
Update  960/2441 | Step 1,966,080 | Episodes 14642 | FPS   2260 | Mean reward     31.4 | LR 1.82e-04 | Time    870s
Update  965/2441 | Step 1,976,320 | Episodes 14686 | FPS   2260 | Mean reward     23.9 | LR 1.81e-04 | Time    874s
Update  970/2441 | Step 1,986,560 | Episodes 14725 | FPS   2261 | Mean reward     16.2 | LR 1.81e-04 | Time    879s
Update  975/2441 | Step 1,996,800 | Episodes 14762 | FPS   2261 | Mean reward     61.1 | LR 1.80e-04 | Time    883s
Update  980/2441 | Step 2,007,040 | Episodes 14791 | FPS   2261 | Mean reward     38.2 | LR 1.80e-04 | Time    888s
Update  985/2441 | Step 2,017,280 | Episodes 14829 | FPS   2262 | Mean reward     12.7 | LR 1.79e-04 | Time    892s
Update  990/2441 | Step 2,027,520 | Episodes 14869 | FPS   2262 | Mean reward     23.9 | LR 1.78e-04 | Time    896s
Update  995/2441 | Step 2,037,760 | Episodes 14900 | FPS   2263 | Mean reward     41.3 | LR 1.78e-04 | Time    901s
Update 1000/2441 | Step 2,048,000 | Episodes 14935 | FPS   2263 | Mean reward     26.2 | LR 1.77e-04 | Time    905s
   ->  Model saved to checkpoints/ant_ppo_2048000.pt
Update 1005/2441 | Step 2,058,240 | Episodes 14972 | FPS   2263 | Mean reward     19.0 | LR 1.76e-04 | Time    909s
Update 1010/2441 | Step 2,068,480 | Episodes 15014 | FPS   2264 | Mean reward     43.5 | LR 1.76e-04 | Time    914s
Update 1015/2441 | Step 2,078,720 | Episodes 15064 | FPS   2264 | Mean reward     22.1 | LR 1.75e-04 | Time    918s
Update 1020/2441 | Step 2,088,960 | Episodes 15102 | FPS   2265 | Mean reward     16.6 | LR 1.75e-04 | Time    922s
Update 1025/2441 | Step 2,099,200 | Episodes 15135 | FPS   2265 | Mean reward     39.1 | LR 1.74e-04 | Time    927s
